SampleID	autosomal_coverage	mt_coverage	mtcn_avg	study
0057de63bc094b3cb0bc231600413222	18.157272727272726	8444.41	930.14079006659	DIAN
006942397c26461c85184f7fcbeea616	16.08681818181818	1682.35	209.1588256901472	DIAN
008c10ef1aa84556862be652c752b6de	18.054545454545455	11689.26	1294.8827794561935	DIAN
00e5d3ee2a074ba2a3c21d99b2f6f556	17.672272727272727	6001.97	679.2527585586049	DIAN
01fabbbe63a74fd08b2377cb95437dd3	19.43409090909091	10118.7	1041.3350485323356	DIAN
026afad01f3c4765ac7681da55ef82ec	20.936818181818182	2631.9	251.41356027876077	DIAN
02ca8800acd8463cafbc85a74c0b29d5	18.435454545454547	4385.09	475.72355638838206	DIAN
031be4d20fdd4fffb76249df6a44d3db	17.773636363636363	11235.53	1264.2916474860622	DIAN
034dc1ff04ff47c6b366ff9b81e3fb93	19.24	11339.95	1178.7889812889814	DIAN
048c663a20bb4570b286b647c5fb4c27	20.280454545454546	8953.7	882.988098706771	DIAN
04c0877701d74885a3306af603a1dd64	17.09227272727273	10523.13	1231.3318618195356	DIAN
05c263f8debe44a7898702d48811804f	16.600454545454546	10429.8	1256.5680019714682	DIAN
05c7b9bdb56044788bcd880ca0334f3d	18.482727272727274	1974.36	213.6437951896119	DIAN
06d54bc22a9f4798b0f52942b6f5378e	19.370454545454546	10309.67	1064.4737299073097	DIAN
07b016c3b3a441858e5da002d0e2dd14	19.431818181818183	10261.4	1056.1440935672513	DIAN
07dc371428484397b52051270cfa8f42	18.205454545454547	7916.46	869.6800159792269	DIAN
07faf48b4b01418cac5ae69efb027635	15.887272727272727	1129.93	142.24341954680708	DIAN
0863e0ad3a5942a1bc4331770d14ebd7	18.761363636363637	7250.12	772.8777225923683	DIAN
0910578d6cc8433a880762e75685c187	19.480454545454545	16236.09	1666.9107963693211	DIAN
09351fe23fb94032a1d2d995bc04ee41	19.978636363636365	6923.75	693.1153732395968	DIAN
095726b1384948ffb66ecfba7ba1bf6d	18.27318181818182	8661.35	947.9848759981095	DIAN
0971d895e68e4b9fbaba757b32717ab5	19.861363636363638	8541.93	860.155441125987	DIAN
0a2a5cd0139f4a3eb5070fec75f3163c	29.240909090909092	2325.81	159.07918545002332	DIAN
0a39e280347240f486cadbc4c38dd933	18.795454545454547	8823.71	938.9195646916564	DIAN
0a49889973c64192b675e9c1aab0a848	20.666818181818183	9651.79	934.0373457672598	DIAN
0a566f69c7394f54bcf37afd46a23ff4	18.10181818181818	12573.04	1389.1466452390518	DIAN
0a63c9d7d4d04f0e805a8155d68a4108	17.77090909090909	8692.89	978.3281154082259	DIAN
0aa9936b7dba4af0b1694faa22f8678e	19.101363636363637	10042.35	1051.4799038621707	DIAN
0b0ffc25d4914f6bb818e09f8d488506	19.33590909090909	1337.63	138.3570840875432	DIAN
0bb58dc5d343443bbee9e7c17238c6f2	20.206818181818182	2581.76	255.53355078168937	DIAN
0c1ef1430908400c9743a867a1e7017b	16.85818181818182	10210.77	1211.3726272648835	DIAN
0c46531e40ac4eac807dc88b22aaca3c	18.818636363636365	2452.98	260.69689137943527	DIAN
0cb2e0fa25114087a4d0f8e0fea04522	16.288636363636364	7420.53	911.1296776894097	DIAN
0cba6636d86d4bea9b642e625fbc63be	19.161363636363635	10407.74	1086.325607875697	DIAN
0daadc7ca4d54cab98d3082911e2e941	20.86909090909091	1786.54	171.21397456002785	DIAN
0db26ae2ac1a4efe923e2e6437fc58d4	19.309545454545454	13284.75	1375.9774958216615	DIAN
0ef44051476e4c75b4b35c7501eadcf2	17.80318181818182	2233.79	250.94278346567262	DIAN
0f4eed3ec3374d2fb8ebab3ddcf0f3b5	18.831363636363637	2493.09	264.78061261435226	DIAN
0fd9532b7da74f1cb1f6ab7c40a1faee	18.37181818181818	11621.62	1265.1573061507252	DIAN
1000	40.36909090909091	38164.31	1890.7688600639553	MAYO
1005	35.715	38990.43	2183.420411591768	MAYO
100b9dfc7c494cbbadedec6edbe38d2b	20.24772727272727	9613.48	949.5860814906275	DIAN
1010	36.372727272727275	17635.92	969.7331667083228	MAYO
1015	28.395454545454545	20333.37	1432.1566832079397	MAYO
1019	38.16136363636364	29574.73	1549.9828717765467	MAYO
10255f6e34a547fa9afb24064b42cd7d	20.26409090909091	2646.46	261.1970121800767	DIAN
1027	34.25954545454545	15853.54	925.4962253386582	MAYO
1029	48.234545454545454	50232.92	2082.8607184590446	MAYO
1034	30.052272727272726	15964.37	1062.4401119261893	MAYO
1036	35.39681818181818	24207.65	1367.7867810409257	MAYO
1045	37.47909090909091	35631.43	1901.4031096126325	MAYO
1046	29.197727272727274	20103.58	1377.0647154977817	MAYO
1047	38.60727272727273	26171	1355.7549213525476	MAYO
1052	39.31090909090909	25078.6	1275.910457425651	MAYO
1058	34.872727272727275	19731.95	1131.655109489051	MAYO
1059	32.88545454545454	12182.88	740.9281804611047	MAYO
1078	32.55	19878.19	1221.3941628264208	MAYO
1080fd6a2a29448fbf6effbef0453116	20.756363636363638	1764.17	169.98834968465312	DIAN
1085	40.097727272727276	26816.93	1337.5785524003854	MAYO
1089	35.167272727272724	20036.87	1139.5179919346501	MAYO
1098	38.28727272727273	29450.13	1538.3770063633774	MAYO
1103	38.513636363636365	19645.21	1020.1690546441637	MAYO
1104	34.26227272727273	28942.04	1689.440757790838	MAYO
1105	34.93727272727273	24167.29	1383.4674611641644	MAYO
1114	38.967727272727274	21119.99	1083.9734045655496	MAYO
1119	34.11409090909091	20109.13	1178.9339515795925	MAYO
1121	37.44045454545454	21459.21	1146.3114035620197	MAYO
